tweet_id,text,gold_intent
2039893,"I see the lightning seeds catalogue on @115888 has been decimated &amp; their best track ""the life or riley"" #obv is no longer there. Tragic!",content_availability
677726,@SpotifyCares iPhone 7 running iOS 11.1.2,app_device_issue
2319655,Reputation still isn't available on Spotify,general_support
1997465,@125633 I️ have a serious inquiry. I️ just dropped another song and it’s under a duplicate artist profile and not my original how!?,content_availability
2602372,DID YOU KNOW In order to clear the cache left by #Spotify playlists on your iPhone you need to delete/reinstall the app? Really. Seriously.,app_device_issue
1926367,"@115888 so sick and tired of waiting on a refund. Over 35 emails, their replies make no sense and they DON’T listen to my ways to solve it!",general_support
777954,@SpotifyCares Thanks for the help!,general_support
573788,trying to figure out why i was just charged 10.79 when my @115888 been canceled 😑,account_subscription
2037695,@115888  just want you to know that I’m leaving you. Someone better has come along who doesn’t charge me 4 times. @115948 I’m yours now,account_subscription
2472591,@115888 stranger things mode pls explain?! https://t.co/mIWPqOG4Ub,general_support
8245,"@117153 My Spotify account status has still remained on free not premium. The paypal bill id is B-6PG00273C2674763D
I have messaged paypal about this problem, they said my payment was fine, I should ask you about the connection between your website with paypal.",account_subscription
465266,Help @SpotifyCares,general_support
130884,@127240 LISTEN I DON’T USE SPOTIFY THAT MUCH AND I DID SOMETHING THAT SKIPPED IT,general_support
2899857,@115888 the 99p offer wasn't even an option and ive just paid £9 more than i even should have can i have a refund please,ads_promotions
454693,@115888 @SpotifyCares Maillere ne zaman dönmeyi düşünüyorsunuz ?,general_support
497714,@SpotifyCares hey! ok there's a song I listened to non stop in like July and August but I didn't add it to my playlist and now I can't find it :-( Pls help,content_availability
1394694,i wanna listen to my sad relatable playlist but whats the point when s&amp;m isnt on spotify,content_availability
189310,@SpotifyCares @115888 I won't take no for an answer or stop so make it happen!,app_device_issue
1835139,Srsly @115888? 😒 https://t.co/55uA9rLoCI,general_support
1261913,@115888 bitch put tum hi ho on Spotify,general_support
51767,@SpotifyCares Shuffling my entire library isn't giving me truly random shuffle. Fix it. smdh. 🤦‍♂️ about to go to pandora. Using Windows 8.1,playback_issue
2263266,.@115888 you send me an email about premium yearly and the deny me from signing up. WTF....,account_subscription
2749485,@SpotifyCares So it has to do with my account being reset recently? I have almost 50 playlists and probably thousands of songs saved. This has never happened before.,account_subscription
2114211,@115888 can you guys please provide the the entire Heaters Musical album instead of only 4 songs?,content_availability
2488831,@SpotifyCares I have a question my Rogers subscription expires in a few days I have 3 numbers for free and I pay for a 4th .,account_subscription
1224511,@SpotifyCares I'm from Peru,general_support
1409992,@125633 Hello? anyone able to help?,general_support
689537,"@SpotifyCares Both over Wi-fi, and mobile data, and with downloaded songs.",content_availability
1355782,I haven’t been able to upgrade my @115888 to premium! 😡😡 The website is not taking my payments. Should I switch to @115948 ? https://t.co/BOz7aEckTs,account_subscription
938280,@SpotifyCares Not on a playlist just saved in general,content_availability
2718118,@115888 come on. i’m a poor girl who just wants to listen to music offline :(,general_support
1934805,@115888 plz fix your podcast system it's so dumb. p.s. your search system too https://t.co/dNcMFq6vZy,general_support
447883,@SpotifyCares My account was hacked/compromised. I’ve regained access and changed my password but I noticed there were members added to my family that I do not know. I deleted the members I do not know. Just want to make sure I do not have to do anything else.,account_subscription
2289027,what does this even mean @115888 https://t.co/fA2j7HmX5s,general_support
1741170,"@SpotifyCares Yes, I'm connected all the time. The exact message is ""You are currently set to offline""
then ""Please go online to connect to Spotify""",general_support
1421473,@SpotifyCares I have the Roku 3 which I don't see listed. If I did have a compatible device they would both need to be on WiFi - not one on ethernet?,app_device_issue
1214663,@131098 waarom kan ik de premium for students aanbieding alleen maar via creditcard betalen? En niet Ideal?,account_subscription
44353,@115888 How,general_support
1916783,@115888 stop making us see ads no one wants to pay,ads_promotions
1842978,"Hey @115888, my both accounts are premium. What do I do now? https://t.co/nlBVFOwNz2",account_subscription
2318536,"@SpotifyCares Most recent version. It's not a matter of version or device, it's the way you treat the lists. For instance, the current queue can't be cleared, it's crazy. Sometimes after app reboot, it deletes itself losing everything.",app_device_issue
77685,"@SpotifyCares Trying to log into Spotify app via Facebook app on iPhone 6s, but get Facebook message ""Login Error: There is an error logging you into this application. Please try again later.""",app_device_issue
863717,"@SpotifyCares Um I'm on mobile but here's the link:
https://t.co/0LzUMmVf6m",general_support
1858087,@SpotifyCares Could you please just add the little dot under the shuffle icon like the Desktop app has? It’s perfect and should be easy to implement,playback_issue
1372116,"What does Spotify hope to accomplish by making their commercials loud as fuck? Yes, I’m talking to you @115888",general_support
458070,C.Breezy on Spotify is a true scammer &amp; I will not participate,general_support
265659,My discover playlist this week is some ASS. @115888 you are so wrong about my taste.,content_availability
848527,"@SpotifyCares Thanks! It’s very buggy, im on IOS free version, it plays one song then stops, then refuses to play from the same album. Same after ad plays",app_device_issue
2692975,Ugh i can't get my stranger things mode to work @115888 https://t.co/YLWQPzXxZh,general_support
851856,@SpotifyCares I'm just contacting you guys in case it's a security issue. Have a nice day.,general_support
1879079,Hi @SpotifyCares. Wht shld i do if forgot my password and at the same time i also forgot which email adress i used and i unable to reset it,ads_promotions
2008542,@115888 is there a way to change my username? i’ve made a horrible mistake :(,ads_promotions
1571383,@115888 https://t.co/oiFiwWN5Is,general_support
2118713,@SpotifyCares did your iPhone X arrive yet?,app_device_issue
2874424,Any @SpotifyCares peeps up and about right now? I need some help!,general_support
364941,"@SpotifyCares They load eventually, been experiencing this for months, pre-iOS 11. Will try a hard reset",app_device_issue
2171527,I just stumbled upon this. Why is Regine's name misspelled? Why? Please fix this. @149503… https://t.co/F9e0OVtdgA,general_support
1846412,"@SpotifyCares Wow that response only took one hr, thank god I’m not paying.. oh wait I am paying, thanks for nothing I already solve it.",ads_promotions
2075443,@115888 can I retrieve my playlists? I'd love to have them back! https://t.co/4pkaktOlTt,content_availability
1942615,"@SpotifyCares Nope, it let me listen to like two songs and then stopped. Every time I close the app and retry it just plays me an ad and then nothing",app_device_issue
853063,@SpotifyCares Cont: I am using an Android system.,app_device_issue
898083,"@SpotifyCares https://t.co/10k5gVLToY

Also this one in case y’all wanna check that out https://t.co/l9ZyjjV4Cm",general_support
231004,@SpotifyCares I’m on iOS 11.0.1 and Spotify version 8.4.20.535. Thanks,app_device_issue
787542,"What about a timer/alarm to set @SpotifyCares to come on at a particular time? Wake up to tunes, not the same bleeping alarm every morning.",general_support
1959752,"@SpotifyCares I renewed my premium subscription earlier after having to downgrade, now I can’t redownload my playlists+no option for premium",account_subscription
2114179,"@SpotifyCares   had een vraag ik heb nog een facebook accoount
spotify staat nu steeds ingelogd met (cont) https://t.co/AUW3aFcVmJ",ads_promotions
2708569,@SpotifyCares do I need to terminate my premium membership to change to a family plan so I can get my wife on it too...I’m assuming there is a way to keep my library and playlists etc.  can you let me know what I need to do?,account_subscription
104111,@SpotifyCares Seems to be affected by my Bluetooth headphones. No issues if I play using my phone's speakers,ads_promotions
1981293,@SpotifyCares Their albums are all of Spotify US,content_availability
1694948,@SpotifyCares Working now,general_support
1070389,@SpotifyCares please check your direct messages ASAP. I have an issue with Spotify.,general_support
656459,@SpotifyCares Messaged you,general_support
963337,"Listen @115888 I’m just trying to listen to my music, and playing ads featuring screaming babies stresses me tf out so can u not?",ads_promotions
1589496,@SpotifyCares this is why i was like « wtf is happening??» 😂 https://t.co/Dh8SEqBDWL,app_device_issue
280225,@SpotifyCares It's the 2. The round one. It has been quite intermittent recently,general_support
928443,@340300 @115888 @SpotifyCares I have the same issue :(,general_support
1903061,"Should be typing a paper, but instead I've spent the last 30 min trying to verify I'm a student for @115888 ..OK Wesleyan Uni is a school!",ads_promotions
2835027,@SpotifyCares check my dm pls,general_support
2264853,when will reputation be out on spotify,general_support
206570,"so, you guys are stoping my songs like an old vinil so I can pay for premium again, @SpotifyCares? I wanna my streaming quality back!",account_subscription
2613421,@115888 @SpotifyCares @116130 https://t.co/CfeaD3kFlg,ads_promotions
1243460,@115888 please make it to where I can organize my playlist into folders I have tOO MANY PLAYLISTS,content_availability
898858,@SpotifyCares hi why its always geeting fail after i fill the data to join spotify family? https://t.co/j7XN346Let,general_support
2714238,@SpotifyCares Yes,general_support
2916682,@SpotifyCares I can’t remember my account email to log in to cancel premium,account_subscription
2583348,@117168 what updates do you keep releasing bc I still can’t use the force touch feature so I don’t see a reason to update anything until that feature is renewed. - Asking for everyone who uses Spotify religiously 🤔,app_device_issue
565399,@115888 Why can’t I upgrade to premium on the app?? I have to go on an internet browser? In 2017??,account_subscription
1096230,@SpotifyCares Thanks I thought it would be easy to subscribe yearly instead of monthly. You have a yearly personal subscription but not a family one.,account_subscription
1857621,@SpotifyCares https://t.co/DahwsQXGJP,general_support
2018887,"@SpotifyCares someone connected to my account and created playlists. i just changed my password, but i wanted to let you know just in case",account_subscription
189855,@115888 does this work with @17690 Spotify premium? 🙏🏻🤞🏻,account_subscription
1968821,@115888 why don't you have Apple Watch support and Siri integration?,app_device_issue
83697,@115888 i want to get a premuim account but the payment still 379 for 3 months..how come that you said its only 9php,account_subscription
2294854,"@SpotifyCares The link is asking me to sign in but I don’t have an account..Can I buy e-card without account? Also, can he only buy a 12 month subscription or can he get 3-6-12 mth subscriptions with e-card?",account_subscription
1615802,@115888 when you say click the banner for 30 minutes of ad free listening. Shouldn’t I get 30 minutes of ad free listening instead of 10?,ads_promotions
788577,@SpotifyCares wtf no girl tell them to add it back,ads_promotions
1816287,@117153 still can't activate all invited member of my premium family...,account_subscription
838692,still think that this feature were cancelled but I'll wait for a reply someday 😂 @13281 @115888 https://t.co/QDZNGUeuyP,general_support
917344,"@SpotifyCares getting this error on so many tracks on Desktop. On phone (android) those songs just don't play, no error.  help? https://t.co/R1ntr4sDVK",app_device_issue
1623526,@SpotifyCares Thanks for the reply!,general_support
2290000,"@SpotifyCares I was listening to Spotify offline yesterday, no issues at all, today all my albums are no longer offline (playlists are fine). Why do this going missing? Running Android V8.4.26.770 - currently redownloding all my albums again. Signing out and in didn't help",app_device_issue
979461,"@SpotifyCares Persisted while it was on but fixed by restarting the app, no biggie.",app_device_issue
1873072,"@SpotifyCares Wow I get why there are only 82 votes, dont feel the need to join a community. Just get it done. It is there on Android so get it to iOS.",app_device_issue
227982,"My Spotify ads are now in German, what are you trying to tell me @115888?",ads_promotions
137180,@115888 Use never do anything for existing customers 🤷🏻‍♂️,general_support
1662754,@SpotifyCares Done... and I will just continue waiting...,general_support
2291955,"Someone please tell me why it sounds like this and how can I get the old/real version back? Please and thank you @276220 @SpotifyCares 
#whydontwethesegirls https://t.co/J4cwz8Q2bA",general_support
1943541,"@SpotifyCares I upgraded to family premium but when dir clicks the link to join, it takes her to the payment page. __email__",account_subscription
1866074,@115888 needs to quit playing and get Julion Alvarez's music back,general_support
859118,So I would say @SpotifyCares has had enough time to build an Apple Watch app and just refuses to. That doesn’t put the customer first. 🤔,app_device_issue
468361,@117153 I've cancelled my account because I was double charged every month. And guess what? You charge me incorrectly again. I've have a new CC number and still I'm charged to one that does not exist. I'll suit you!,account_subscription
257222,@SpotifyCares That doesn't really make sense that his top 10 songs would be take down and half the albums are there,content_availability
482490,@SpotifyCares this has been happening for months and i'm going crazy! i will name my first born son 'spotify cares' if you can help me please and thank you in advance,app_device_issue
1973458,"@SpotifyCares Im getting an error if I invite someone to my family. In addition, the invite is send in some else’s name. How can that be?",ads_promotions
1820351,Is anyone else having this problem? @115888 https://t.co/FbngkK4QOh,general_support
1772420,@SpotifyCares can we have a save button on the ios lockscreen widget?,app_device_issue
2507500,"@SpotifyCares Hey, I've just been verified - how long does the blue tick take to appear on Spotify?",app_device_issue
2288652,"@SpotifyCares @664913 @147836 That's a must have on road trips!

Seriously, you can build amazing things, but you won't add this basic and neccesary feature? Looks like @115888 and @SpotifyCares don't really care 🤷🏽‍♂️",ads_promotions
2622892,@SpotifyCares Thank you for the help!,general_support
683934,@SpotifyCares Thank you MU &lt;3,general_support
130892,"@115888 Offer not getting applied, can you help?",app_device_issue
2594619,"@SpotifyCares wait, it seems to be working now",general_support
378901,"When is @115888 going to put a sleep timer in their settings? 
Because I could use that right now.",general_support
1945179,"@SpotifyCares Hello. I've turned off autoplay, yet Spotify keeps playing music I do not want after an album/playlist ends. Driving me nuts.",content_availability
2312074,@SpotifyCares how do i sign up for beta,general_support
700434,I sent you messages. Please respond. Thanks. @SpotifyCares,general_support
1828138,@SpotifyCares I seem to have lost some playlist after adding Facebook to my premium account. Any way to get these back :(,account_subscription
343540,@SpotifyCares Thank you! And one more question please. How many times (frequency) an ad appear in 1 hour?,app_device_issue
937562,@SpotifyCares is there no way for my payment to be a direct debit rather than monthly subscription?,account_subscription
1771359,@SpotifyCares Thanks! Maybe rename it Cohabitant Plan?,general_support
2218918,@116130 when are you putting Taylor’s new album on your new releases??,content_availability
1220120,@SpotifyCares But that means duplicating playlists. Can I not buy more devices for 1 account?,account_subscription
688065,@115888 Can pay thorugh Maxis One?,general_support
633998,@SpotifyCares can I delete songs off my artist profile?,content_availability
66002,@SpotifyCares But it has so far,general_support
1753709,is anybody else having this problem with @SpotifyCares?? https://t.co/8TlRGkhgfq,general_support
975188,Hey @115888 why don't you have parent controls to block explicit content? Parents need them!,general_support
2338003,@115888 lets go where is super slimey,general_support
2972067,@SpotifyCares @115888 wellll... I also noticed that the Anastasia soundtrack is also missing 😬,content_availability
2350987,When will Reputation be put on @115888 ?! 😩,general_support
2839348,@SpotifyCares how can i reset am account,account_subscription
2431675,@SpotifyCares i have a samsung TV with a universal remote... when i search for music the cursor skips letters/numbers... it is impossible to complete a search!,general_support
824178,@SpotifyCares Still having problems. Account is still pausing. Somehow someone is still a accessing everything,account_subscription
2215855,@115888 its 2017 wheres the visualizer at?,general_support
1874503,@SpotifyCares Thanks for your reply but this is totally bogus. The playlists feature was removed several months ago and it's just never coming back? 💁🏻,content_availability
2008484,@117153 someone keeps changing my song while at the gym. How do I️ keep them from making me listen to their device? #Spotify,app_device_issue
181542,@SpotifyCares It works! 🙌🏼,general_support
552659,@115888 Can I cancel and re subscribe to save myself £27???,general_support
1214614,@115888 hi! there’s an album called Young States by Citizen and the track names are reversed! “Right Through” is I Still Shut my Eyes,content_availability
2475178,I’d love to have all the @96294 albums on my Spotify,content_availability
2114136,@SpotifyCares I want to activate my student account in order to get the discount but the University I attend in Greece is not listed. Can you help me?,account_subscription
599463,"@SpotifyCares Somehow the adress in my Family Account changed (we moved and I changed my PayPal address), can't view it. Family members were asked to reauthorize which first seemed to work, but they got thrown out of the account.",account_subscription
1093231,"Hey @115888, still no feature on blocking specific artists from popping up in my radio playlists?",content_availability
158950,@SpotifyCares can you reply to my DM plz 💘,general_support
695445,@SpotifyCares how do I find and copy the link to my Spotify profile if I signed up with Facebook?,general_support
2198152,"@115888 your shuffle function is useless, out of a 300 song playlist it's always the same 30 songs that play in shuffle, get this fixed NOW!",playback_issue
966912,"@115888 is not working on my phone, the log in from Facebook is not recognizing my id. I've lost my account!",account_subscription
1653580,"@SpotifyCares @116130 I’m actually really concerned about how this could happen, is there a way to see if any of these pre-save apps are doing this?",app_device_issue
499227,@SpotifyCares No it doesn't. I have to re-download ALL the songs again and this has been happening for the past couple of weeks,app_device_issue
1840170,"@SpotifyCares Yes, always do. Been on Spotify for years. Know that you have to listen to full ad.",ads_promotions
1698050,@SpotifyCares I can't get into my account. It says that I connect through FaceBook but when I try to connect it won't login.,account_subscription
1991801,"@115888 hi, you charged me five extra dollars this month although I am on the student plan! I want my refund!",account_subscription
2782146,@SpotifyCares Thanks. It's now working for me again 🙂,general_support
609654,@SpotifyCares Ahhh thank u💖,general_support
2031846,WHY ARE AALIYAH ALBUMS NOT ON @115888,content_availability
2584519,@115888 I’m recently enrolled to college and wanting to switch my Spotify to the student rate. Can I get some help with that? I’m confused on how to proceed,general_support
1742689,@SpotifyCares Well I love the feature on the PC app where I can see what my friends are listening to. Can we get that on the mobile app too? It's great,app_device_issue
83680,"@SpotifyCares Yes, the @13281 app is the latest version.",app_device_issue
507427,"@SpotifyCares Hi, seem to be going around in circles to register for premium. Says my email address is taken, but won't send a password reset link stating ""looks like you're trying to log in with facebook""? Please help",account_subscription
2032689,@115888 hi i pay $5 a month solely to stream travelin' solider by the dixie chicks Please Bring It Back,general_support
2919397,@115888 wsup ?,general_support
411203,".@SpotifyCares please return @19284 's album ""Tracy's Manga"" to your libraries. your app is insufficient without it https://t.co/lD6kMEUXn0",app_device_issue
2138973,@115888 - iPhoneX support coming soon to make it actually fit the phone screen? Disappointing that unlike many other apps you didn’t bother to have it ready for launch day! Not ideal really is it given we pay for this service!,app_device_issue
2929242,@SpotifyCares Help. Tried again this morning. still failed. im trying to purchase premium family here. https://t.co/5FAM5Gh0nB,account_subscription
2622873,@SpotifyCares Could you please dm me,general_support
